import time: self [us] | cumulative | imported package
import time:        84 |         84 |   _io
import time:        21 |         21 |   marshal
import time:       187 |        187 |   posix
import time:       185 |        475 | _frozen_importlib_external
import time:        59 |         59 |   time
import time:        62 |        120 | zipimport
import time:        66 |         66 |     _codecs
import time:       162 |        227 |   codecs
import time:       342 |        342 |   encodings.aliases
import time:       452 |       1020 | encodings
import time:       136 |        136 | encodings.utf_8
import time:        55 |         55 | _signal
import time:        18 |         18 |     _abc
import time:        73 |         90 |   abc
import time:        99 |        188 | io
import time:        28 |         28 |       _stat
import time:        40 |         68 |     stat
import time:       458 |        458 |     _collections_abc
import time:        20 |         20 |       genericpath
import time:        40 |         60 |     posixpath
import time:       196 |        781 |   os
import time:        40 |         40 |   _sitebuiltins
import time:       302 |        302 |   _virtualenv
import time:        71 |         71 |   sitecustomize
import time:       615 |       1806 | site
import time:        95 |         95 |       itertools
import time:        99 |         99 |       keyword
import time:        46 |         46 |         _operator
import time:       179 |        225 |       operator
import time:       118 |        118 |       reprlib
import time:        39 |         39 |       _collections
import time:       509 |       1083 |     collections
import time:       160 |        160 |       types
import time:        36 |         36 |       _functools
import time:       322 |        516 |     functools
import time:       346 |       1945 |   contextlib
import time:       107 |        107 |     __future__
import time:        76 |         76 |       _ctypes
import time:        47 |         47 |         _struct
import time:        89 |        136 |       struct
import time:       186 |        186 |       ctypes._endian
import time:       504 |        901 |     ctypes
import time:       112 |        112 |       collections.abc
import time:       785 |        785 |         enum
import time:        93 |         93 |           _sre
import time:       166 |        166 |             re._constants
import time:       203 |        369 |           re._parser
import time:        81 |         81 |           re._casefix
import time:       214 |        755 |         re._compiler
import time:       107 |        107 |         copyreg
import time:       371 |       2016 |       re
import time:       223 |        223 |       warnings
import time:        25 |         25 |       _typing
import time:      1388 |       3762 |     typing
import time:      1386 |       6155 |   polars._cpu_check
import time:        44 |         44 |   mmap
import time:      2423 |       2423 |   polars.polars
import time:        37 |         37 |             math
import time:        18 |         18 |               _bisect
import time:        92 |        110 |             bisect
import time:        25 |         25 |             _random
import time:        19 |         19 |             _sha512
import time:       285 |        474 |           random
import time:        91 |         91 |             fnmatch
import time:        47 |         47 |               _winapi
import time:        37 |         37 |               nt
import time:        34 |         34 |               nt
import time:        34 |         34 |               nt
import time:        34 |         34 |               nt
import time:        34 |         34 |               nt
import time:        74 |        291 |             ntpath
import time:        34 |         34 |             errno
import time:        79 |         79 |               urllib
import time:       723 |        723 |               ipaddress
import time:       568 |       1369 |             urllib.parse
import time:       376 |       2160 |           pathlib
import time:       120 |        120 |                         _datetime
import time:       399 |        519 |                       datetime
import time:       808 |        808 |                           numbers
import time:       252 |       1059 |                         _decimal
import time:       133 |       1192 |                       decimal
import time:       299 |        299 |                           sysconfig
import time:       238 |        238 |                           _sysconfigdata__linux_x86_64-linux-gnu
import time:       768 |       1305 |                         zoneinfo._tzpath
import time:       508 |        508 |                         zoneinfo._common
import time:       120 |        120 |                             _weakrefset
import time:       216 |        335 |                           weakref
import time:        48 |        383 |                         _zoneinfo
import time:       222 |       2416 |                       zoneinfo
import time:       186 |        186 |                       polars._utils.constants
import time:       919 |       5230 |                     polars._utils.convert
import time:       131 |        131 |                     polars._utils.scan
import time:        41 |         41 |                           _ast
import time:       567 |        607 |                         ast
import time:        20 |         20 |                             _opcode
import time:       197 |        217 |                           opcode
import time:       415 |        632 |                         dis
import time:       110 |        110 |                           importlib
import time:        45 |        155 |                         importlib.machinery
import time:       109 |        109 |                             token
import time:       565 |        673 |                           tokenize
import time:        97 |        769 |                         linecache
import time:       911 |       3073 |                       inspect
import time:      2930 |       2930 |                           polars.datatypes.classes
import time:       129 |        129 |                                 importlib._abc
import time:       285 |        285 |                                 threading
import time:        89 |        501 |                               importlib.util
import time:      1433 |       1934 |                             polars.dependencies
import time:      1154 |       3088 |                           polars.datatypes.convert
import time:       739 |       6756 |                         polars.datatypes._parse
import time:       122 |        122 |                         polars.datatypes.constants
import time:       629 |        629 |                         polars.datatypes.constructor
import time:       246 |       7752 |                       polars.datatypes
import time:       403 |        403 |                       polars.datatypes.group
import time:      2675 |      13901 |                     polars._utils.various
import time:       161 |      19421 |                   polars._utils
import time:       431 |        431 |                     polars.exceptions
import time:       598 |       1029 |                   polars._utils.parse.expr
import time:       129 |      20579 |                 polars._utils.parse
import time:       178 |        178 |                 polars._utils.wrap
import time:       390 |      21146 |               polars.functions.aggregation.horizontal
import time:       247 |        247 |               polars.functions.aggregation.vertical
import time:       187 |      21579 |             polars.functions.aggregation
import time:       314 |        314 |               polars._utils.unstable
import time:       907 |       1221 |             polars.functions.as_datatype
import time:      2490 |       2490 |                 polars._typing
import time:        76 |         76 |                   _socket
import time:      8991 |       9067 |                 typing_extensions
import time:      1384 |      12940 |               polars._utils.deprecation
import time:       340 |      13280 |             polars.functions.business
import time:       593 |        593 |             polars.functions.col
import time:       199 |        199 |             polars.functions.datatype
import time:      1061 |       1061 |             polars.functions.eager
import time:       177 |        177 |             polars.functions.escape_regex
import time:       533 |        533 |               polars._utils.async_
import time:       214 |        214 |                   polars.lazyframe.engine_config
import time:       182 |        182 |                     polars._utils.parquet
import time:       303 |        303 |                     polars._utils.serde
import time:       709 |        709 |                     polars._utils.slice
import time:      1192 |       1192 |                         polars.interchange.protocol
import time:       119 |       1311 |                       polars.interchange
import time:        16 |       1326 |                     polars.interchange.protocol
import time:       556 |        556 |                     polars.lazyframe.group_by
import time:       202 |        202 |                     polars.lazyframe.in_process
import time:      1065 |       1065 |                     polars.lazyframe.opt_flags
import time:       595 |        595 |                     polars.schema
import time:       702 |        702 |                           polars.expr.array
import time:       407 |        407 |                           polars.expr.binary
import time:       315 |        315 |                           polars.expr.categorical
import time:      1536 |       1536 |                           polars.expr.datetime
import time:        43 |         43 |                                   org
import time:        16 |         59 |                                 org.python
import time:        13 |         71 |                               org.python.core
import time:       139 |        210 |                             copy
import time:      1334 |       1544 |                           polars.expr.list
import time:       756 |        756 |                           polars.expr.meta
import time:       324 |        324 |                           polars.expr.name
import time:      2045 |       2045 |                           polars.expr.string
import time:       386 |        386 |                           polars.expr.struct
import time:       127 |        127 |                               polars._utils.polars_version
import time:       186 |        313 |                             polars.meta.build
import time:       131 |        131 |                             polars.meta.index_type
import time:       166 |        166 |                             polars.meta.thread_pool
import time:       346 |        346 |                             polars.meta.versions
import time:       162 |       1115 |                           polars.meta
import time:      9675 |      18799 |                         polars.expr.expr
import time:       453 |        453 |                         polars.expr.whenthen
import time:       135 |      19387 |                       polars.expr
import time:      2657 |      22043 |                     polars.selectors
import time:      8808 |      35784 |                   polars.lazyframe.frame
import time:       135 |      36132 |                 polars.lazyframe
import time:        15 |      36147 |               polars.lazyframe.opt_flags
import time:      2396 |      39075 |             polars.functions.lazy
import time:       157 |        157 |             polars.functions.len
import time:       641 |        641 |             polars.functions.lit
import time:       136 |        136 |             polars.functions.random
import time:       144 |        144 |                 polars.functions.range._utils
import time:       462 |        605 |               polars.functions.range.date_range
import time:       487 |        487 |               polars.functions.range.datetime_range
import time:       557 |        557 |               polars.functions.range.int_range
import time:       449 |        449 |               polars.functions.range.linear_space
import time:       508 |        508 |               polars.functions.range.time_range
import time:       190 |       2794 |             polars.functions.range
import time:       565 |        565 |             polars.functions.repeat
import time:       218 |        218 |             polars.functions.whenthen
import time:       437 |      82125 |           polars.functions
import time:       546 |        546 |               polars._utils.construction.utils
import time:      4419 |       4965 |             polars._utils.construction.dataframe
import time:       281 |        281 |             polars._utils.construction.other
import time:      1577 |       1577 |             polars._utils.construction.series
import time:       173 |       6994 |           polars._utils.construction
import time:      1436 |       1436 |           polars._utils.getitem
import time:       258 |        258 |           polars._utils.pycapsule
import time:       557 |        557 |             textwrap
import time:       746 |       1303 |           polars.dataframe._html
import time:      1260 |       1260 |           polars.dataframe.group_by
import time:       513 |        513 |           polars.dataframe.plotting
import time:     17150 |     113668 |         polars.dataframe.frame
